stock_code,company_name,short_name,issue_date,signal_date,entry_date,observed_branch_days,branch_window_start,branch_window_end,avg_top_broker_pressure,positive_pressure_day_rate,avg_buy_broker_turnover_pct,issue_observed_branch_days,issue_branch_window_start,issue_branch_window_end,issue_avg_top_broker_pressure,issue_positive_pressure_day_rate,persistent_buy_broker_n,persistent_sell_broker_n,dominant_net_buy_broker,dominant_net_buy_lots_20d,prior_cb_broker_overlap_n,company_side_proxy_score,company_side_proxy_reasons,fixed_return_365d,current_return_pct
6830,汎銓科技股份有限公司,汎銓一,2024-08-15,2024-10-11,2024-10-14,20,2024-09-10,2024-10-11,-0.030200814610091154,0.4,20.521,20,2024-07-17,2024-08-15,-0.0890880415993906,0.25,30,31,摩根大通,797.0,0,-1,"[""issue_stage_sell_pressure""]",-20.7864,
3376,新日興股份有限公司,新日興三,2024-08-23,2024-11-20,2024-11-21,20,2024-10-23,2024-11-20,-0.03781030365876586,0.45,30.954,20,2024-07-29,2024-08-23,0.023251866017979857,0.55,29,27,美林,2332.0,0,0,[],-3.0561,
3491,昇達科技股份有限公司,昇達科二,2024-08-28,2024-08-28,2024-08-29,20,2024-08-01,2024-08-28,0.0019117108094496855,0.45,26.3045,20,2024-08-01,2024-08-28,0.0019117108094496855,0.45,32,29,統一,522.0,0,0,[],19.4869,
3033,威健實業股份有限公司,威健七,2024-09-11,2024-12-02,2024-12-03,20,2024-11-05,2024-12-02,0.023968640625295946,0.55,45.4485,20,2024-08-15,2024-09-11,-0.0013503745012419161,0.5,27,23,統一,1081.0,0,2,"[""signal_buy_pressure_persistent""]",-10.6619,
2383,台光電子材料股份有限公司,台光電六,2024-09-25,2024-11-21,2024-11-22,20,2024-10-24,2024-11-21,0.13275794363379068,0.65,37.4645,20,2024-08-28,2024-09-25,0.00552192069765979,0.45,33,27,國泰證券,2786.0,0,7,"[""signal_buy_pressure"", ""signal_buy_pressure_strong"", ""signal_buy_pressure_persistent"", ""signal_buy_pressure_high_persistence""]",178.2362,
6182,合晶科技股份有限公司,合晶八,2024-09-27,2024-11-07,2024-11-08,20,2024-10-09,2024-11-07,-0.03827355438510811,0.45,43.354,20,2024-08-30,2024-09-27,-0.06798329067599504,0.4,24,24,台灣摩根士丹利,2393.0,0,-1,"[""issue_stage_sell_pressure""]",-8.8748,
6197,佳必琪國際股份有限公司,佳必琪三,2024-10-15,2025-05-15,2025-05-16,20,2025-04-17,2025-05-15,0.06008625022871624,0.65,32.18300000000001,20,2024-09-12,2024-10-15,-0.06865819376648778,0.4,22,22,摩根大通,586.0,0,5,"[""signal_buy_pressure"", ""signal_buy_pressure_persistent"", ""signal_buy_pressure_high_persistence"", ""issue_stage_sell_pressure""]",60.3948,
3013,晟銘電子科技股份有限公司,晟銘電四,2024-10-18,2024-10-18,2024-10-21,20,2024-09-18,2024-10-18,0.028369924686263752,0.45,12.708,20,2024-09-18,2024-10-18,0.028369924686263752,0.45,33,31,摩根大通,4187.0,20,0,[],-20.1088,
9958,世紀鋼鐵結構股份有限公司,世紀鋼七,2024-10-28,2025-06-05,2025-06-06,20,2025-05-08,2025-06-05,0.0016925158261893592,0.45,25.371000000000002,20,2024-09-26,2024-10-28,-0.2054306550168974,0.1,37,38,新加坡商瑞銀,2170.0,0,-1,"[""issue_stage_sell_pressure""]",-40.8293,
6584,南俊國際股份有限公司,南俊國際一,2024-10-29,2025-06-09,2025-06-10,20,2025-05-12,2025-06-09,-0.05836946736098958,0.3,34.7265,20,2024-09-27,2024-10-29,-0.06298245720640579,0.35,27,25,兆豐-忠孝,393.0,0,-3,"[""signal_sell_pressure"", ""issue_stage_sell_pressure""]",267.5564,
6442,光紅建聖股份有限公司,光聖一,2024-11-11,2024-11-25,2024-11-26,20,2024-10-28,2024-11-25,0.09170519275325581,0.7,24.1845,20,2024-10-14,2024-11-11,0.10210049680609397,0.65,28,29,美商高盛,804.0,0,8,"[""signal_buy_pressure"", ""signal_buy_pressure_strong"", ""signal_buy_pressure_persistent"", ""signal_buy_pressure_high_persistence"", ""issue_stage_buy_pressure""]",152.9385,
3702,大聯大控股股份有限公司,大聯大二,2024-11-11,2025-03-03,2025-03-04,20,2025-02-03,2025-03-03,-0.08806956108717814,0.35,43.5175,20,2024-10-14,2024-11-11,-0.04786343935132266,0.4,34,27,玉山證券,2456.0,0,-2,"[""signal_sell_pressure""]",5.248,
4979,華星光通科技股份有限公司,華星光三,2024-12-09,2025-01-07,2025-01-08,20,2024-12-10,2025-01-07,-0.1113485473512843,0.2,12.578,20,2024-11-12,2024-12-09,0.07374498306126777,0.6,36,37,富邦證券,3121.0,0,-1,"[""signal_sell_pressure"", ""issue_stage_buy_pressure""]",55.8008,
8096,擎亞電子股份有限公司,擎亞二,2026-07-02,2026-07-08,2026-07-09,20,2025-12-29,2026-07-08,-0.017392264928894077,0.4,25.634500000000003,20,2025-12-22,2026-07-02,-0.05952563552493852,0.35,30,35,凱基-信義,1184.0,0,-1,"[""issue_stage_sell_pressure""]",,-7.0796
