window_id,window_label,stock_code,company_name,cb_code,issue_date,factor_as_of_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_20d,momentum_60d,ma5_gt_ma10_gt_ma20,volume_ratio_5v20,top1_foreign_net_20d_pct_capital,top1_trust_net_20d_pct_capital,revenue_yoy,eps,contract_liability_growth
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4123,晟德大藥廠股份有限公司,41235,2020-09-08,2020-10-07,2020-10-08,41.177,2021-07-22,40.5819,-1.4451,-11.7949,-18.7091,False,0.3672,,,-0.6007,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,8050,廣積科技股份有限公司,80505,2020-09-07,2020-08-14,2020-08-17,32.1908,2020-09-18,34.2174,6.2954,6.4472,12.9786,True,1.1465,,,0.4646,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,8050,廣積科技股份有限公司,80505,2020-09-07,2020-10-06,2020-10-07,32.6585,2021-07-21,31.4504,-3.6993,-9.8166,6.4265,False,0.6327,,,0.33030000000000004,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3310,佳穎精密企業股份有限公司,33101,2020-09-18,2020-08-27,2020-08-28,21.3648,2020-10-05,22.5475,5.5357,2.7523,-1.1846,True,1.4154,,,0.0694,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3310,佳穎精密企業股份有限公司,33101,2020-09-18,2020-10-20,2020-10-21,24.7984,2021-08-03,22.6734,-8.5692,-2.7273,16.094,False,0.3756,,,0.09269999999999999,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3092,鴻碩精密電工股份有限公司,30921,2020-09-21,2020-08-28,2020-08-31,34.1066,2020-10-06,34.9776,2.5538,1.0689,-0.1174,False,1.7488,,,-0.18309999999999998,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3092,鴻碩精密電工股份有限公司,30921,2020-09-21,2020-10-21,2020-10-22,34.3816,2021-08-04,69.5373,102.2515,-3.949,4.2558,False,0.5209,,,-0.1419,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6496,科懋生物科技股份有限公司,64961,2020-09-24,2020-09-02,2020-09-03,29.307,2020-10-12,28.1966,-3.7891,-3.04,2.6868,False,0.9003,,,-0.0095,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6496,科懋生物科技股份有限公司,64961,2020-09-24,2020-10-26,2020-10-27,28.1,2021-08-09,27.9,-0.7117,-3.4314,-4.3689,False,0.7003,,,0.077,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3260,威剛科技股份有限公司,32607,2020-09-28,2020-09-04,2020-09-07,41.4213,2020-10-14,44.9047,8.4095,-6.3574,-8.3857,False,0.5974,,,0.3169,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3260,威剛科技股份有限公司,32607,2020-09-28,2020-10-28,2020-10-29,41.8,2021-08-11,77.3361,85.0147,5.8601,-7.8947,False,0.5177,,,0.5262,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4967,十銓科技股份有限公司,49672,2020-10-07,2020-09-11,2020-09-14,43.9412,2020-10-21,41.9634,-4.5011,-4.1558,-6.3452,False,0.4835,,,0.312,,
