stock_code,company_name,short_name,cb_code,issue_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5v20,avg_volume_20,ma_bull
9958,世紀鋼鐵結構股份有限公司,世紀鋼七,99587,2024-10-28,2024-09-30,229.93,2024-11-05,205.47,-10.64,-4.508196852283451,11.21718339779678,-1.8947415837051422,0.9507383265495193,9766064.9,True
5608,四維航業股份有限公司,四維航七,56087,2024-12-17,2024-11-18,18.95,2024-12-25,17.0,-10.29,4.098360826601157,7.022472211107927,6.42457901138602,4.461331325638674,864872.55,True
6584,南俊國際股份有限公司,南俊國際一,65841,2024-10-29,2024-09-30,183.39,2024-11-06,165.0,-10.03,11.480363714716336,9.171596988160506,4.532576425366738,2.483127297026395,149650.0,True
1536,和大工業股份有限公司,和大四,15364,2024-08-12,2024-07-15,73.73,2024-08-20,66.36,-10.0,6.733522905739152,35.70127078406708,37.94910005388899,7.836606556940124,4284797.4,True
2383,台光電子材料股份有限公司,台光電七,23837,2024-10-09,2024-09-09,472.8,2024-10-17,425.91,-9.92,4.25079460123267,14.256543120287285,12.337340105243793,2.15530543267104,5599509.85,True
6182,合晶科技股份有限公司,合晶八,61828,2024-09-27,2024-08-28,34.45,2024-10-07,31.05,-9.87,1.769906923641467,2.2222222222222223,-6.249998056370239,0.5189633051064921,1948500.0,True
3702,大聯大控股股份有限公司,大聯大三,37023,2024-11-21,2024-10-22,74.55,2024-11-29,67.29,-9.74,-0.7682432344729617,3.058508986820137,3.6096184210357816,1.112536490960151,6283182.85,True
1609,大亞電線電纜股份有限公司,大亞五,16095,2024-09-30,2024-09-02,50.34,2024-10-08,46.07,-8.47,-2.3985252454459602,-0.7504700204949546,13.610228667231278,0.39815186641048456,20891130.5,False
3591,艾笛森光電股份有限公司,艾笛森四,35914,2024-11-22,2024-10-23,26.24,2024-12-02,24.22,-7.68,-5.400701389610936,-3.38078801663771,13.836475104012527,1.2554581830530167,5365015.65,False
6584,南俊國際股份有限公司,南俊國際二,65842,2024-10-30,2024-09-30,183.39,2024-11-07,169.48,-7.59,11.480363714716336,9.171596988160506,4.532576425366738,2.483127297026395,149650.0,True
6179,亞通利大能源股份有限公司,亞通四,61794,2024-08-28,2024-07-29,30.27,2024-09-05,28.01,-7.47,-5.2902321507000165,-9.007054830331885,2.7966347772168754,0.3269329923484645,4848700.0,False
6830,汎銓科技股份有限公司,汎銓一,68301,2024-08-15,2024-07-16,137.11,2024-08-23,127.7,-6.86,0.678974401112135,-1.0568850308376996,3.5866611025324966,0.6386580999734534,334504.8,False
8927,北基國際股份有限公司,北基八,89278,2024-08-21,2024-07-22,52.02,2024-08-29,48.47,-6.83,5.000002343249497,12.13592075084991,13.420624375433885,7.604453178936134,613862.6,True
1781,合世生醫科技股份有限公司,合世三,17813,2024-09-24,2024-08-26,17.7,2024-10-04,16.5,-6.78,1.4749261872991517,7.500004768371582,3.3033102523141635,0.6871165644171779,203750.0,True
6274,台燿科技股份有限公司,台燿四,62744,2024-05-06,2024-04-08,174.49,2024-05-14,163.63,-6.23,2.1857887964325684,13.333331997797165,14.02439927687184,0.8060073050788663,17152450.0,True
6269,台郡科技股份有限公司,台郡五,62695,2024-08-02,2024-07-03,91.8,2024-08-12,86.2,-6.1,1.560759836688424,4.2334060453610265,5.317917311122652,1.0980774020360304,5528615.55,False
6269,台郡科技股份有限公司,台郡六,62696,2024-08-02,2024-07-03,91.8,2024-08-12,86.2,-6.1,1.560759836688424,4.2334060453610265,5.317917311122652,1.0980774020360304,5528615.55,False
2383,台光電子材料股份有限公司,台光電六,23836,2024-09-25,2024-08-26,435.32,2024-10-04,409.13,-6.02,1.942851501911567,-0.11198634099447836,8.515807916589612,0.5487952688643831,6331892.05,False
9939,宏全國際股份有限公司,宏全二,99392,2024-10-29,2024-09-30,159.79,2024-11-06,150.34,-5.92,4.702191204310906,2.769222919307291,3.726707645582888,1.7898553868227371,517501.25,True
8433,弘帆股份有限公司,弘帆三,84333,2024-05-27,2024-04-29,85.86,2024-06-04,80.87,-5.81,3.995789831774181,2.7759322987038515,-0.6336977400510765,0.45653393157599553,356600.0,False
3583,辛耘企業股份有限公司,辛耘一,35831,2024-06-07,2024-05-08,352.87,2024-06-17,332.37,-5.81,7.6923126728814974,13.219285556195635,2.8248584077908614,0.7311652510515386,8906187.2,True
5321,美而快國際股份有限公司,美而快一,53211,2024-03-04,2024-02-05,83.87,2024-03-12,79.33,-5.41,-0.5524865396619891,4.287370514062998,1.580142131300479,2.5775080986685075,161739.55,True
2442,新美齊股份有限公司,新美齊四,24424,2024-12-25,2024-11-25,26.06,2025-01-02,24.73,-5.08,8.146643396369937,9.259260443979276,13.948506050973528,1.2732512908719051,1358471.35,True
3272,東碩資訊股份有限公司,東碩三,32723,2024-03-07,2024-02-15,33.4,2024-03-15,31.75,-4.94,4.049853936304297,2.7692354642427883,-2.0527770661732543,3.2753326509723646,66436.0,False
3122,笙泉科技股份有限公司,笙泉二,31222,2024-05-03,2024-04-03,40.8,2024-05-13,38.85,-4.78,6.640622749303867,4.198477246592228,-7.142852199938584,2.396835057821059,492900.0,False
3303,岱稜科技股份有限公司,岱稜五,33035,2024-11-26,2024-10-28,56.3,2024-12-04,53.66,-4.69,-0.49999824708686064,11.797748680902634,-7.009340406231021,0.6667054105887139,3441400.0,False
3564,其陽科技股份有限公司,其陽二,35642,2024-09-03,2024-08-05,82.06,2024-09-11,78.31,-4.57,0.8130144120503922,-17.33332743938535,-14.60894717383929,0.6137300764389574,2073550.0,False
1436,華友聯開發股份有限公司,華友聯三,14363,2024-08-27,2024-07-29,116.43,2024-09-04,111.15,-4.53,-3.626066104129381,-8.169734090916151,21.336374297414885,0.9303621381389812,1567461.25,False
6432,今展科技股份有限公司,今展科四,64324,2024-08-16,2024-07-17,33.97,2024-08-26,32.55,-4.18,3.0598064763901336,2.6315831939964136,4.661018792017151,2.89974025974026,192500.0,True
6874,倍力資訊股份有限公司,倍力一,68741,2024-11-04,2024-10-07,95.39,2024-11-12,91.48,-4.1,-0.3005996767211155,-0.3005996767211155,1.9467251316548004,1.576017130620985,23350.0,True
2464,盟立自動化股份有限公司,盟立二,24642,2024-09-16,2024-08-19,85.68,2024-09-24,82.4,-3.83,4.054045134233061,17.6388833957174,-3.310511175275278,1.0078867265876512,22950713.2,False
3605,宏致電子股份有限公司,宏致三,36053,2024-08-06,2024-07-08,49.51,2024-08-14,47.68,-3.7,3.958331895430229,7.543106722653705,0.5035226490146794,0.8342484966630612,1601745.05,True
3346,麗清科技股份有限公司,麗清六,33466,2024-11-27,2024-10-28,38.01,2024-12-05,36.78,-3.25,0.6329076620026551,2.713170495322345,2.4484516351426455,1.2747542400293705,415654.55,True
5245,智晶光電股份有限公司,智晶二,52452,2024-12-18,2024-11-18,34.1,2024-12-26,33.05,-3.08,2.058825773351333,-6.720429969696743,-6.594887381721286,1.5141800246609125,40550.0,False
6150,撼訊科技股份有限公司,撼訊六,61506,2024-03-07,2024-02-15,94.0,2024-03-15,91.2,-2.98,4.272522682252011,3.3180794911316145,1.6891891311374312,1.689311282078004,713900.4,True
3702,大聯大控股股份有限公司,大聯大二,37022,2024-11-11,2024-10-14,73.98,2024-11-19,72.07,-2.58,2.144771831099245,-0.3921607090946768,2.144771831099245,0.7042859911442613,6452753.65,False
1316,上曜建設開發股份有限公司,上曜六,13166,2024-12-27,2024-11-27,15.15,2025-01-06,14.76,-2.56,3.7931047636887123,0.33333460489908856,3.0821903938870783,0.9366505439648626,2396165.8,False
2034,允強實業股份有限公司,允強四,20344,2024-10-02,2024-09-02,22.63,2024-10-11,22.08,-2.45,3.036872231109683,3.2608683356810984,3.4858314465531657,0.8448279493414945,493784.8,False
6187,萬潤科技股份有限公司,萬潤五,61875,2024-07-10,2024-06-11,243.41,2024-07-18,237.49,-2.43,2.074692020458999,5.579398127232625,12.328767221708118,0.6423206608031684,2802650.0,False
2439,美律實業股份有限公司,美律五,24395,2024-07-22,2024-06-24,115.91,2024-07-30,113.18,-2.35,-0.7843090274461425,4.1152220451450905,3.688530031477032,1.1344412190676971,1627734.05,True
